Month,Q0,Q1,Q2pt5,Q5,Q10,Q25,Q50,Q75,Q90,Q95,Q97pt5,Q99,Q100,STNAME,CTYNAME,POPESTIMATE2015
JUL,0.140000001,0.209999993,0.239999995,0.25999999,0.310000002,0.430000007,0.800000012,1.870000005,5.170000076,9.729999542,15.8880003,25.80999947,113.3399963,South Carolina,Aiken,165550
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Indiana,Bartholomew,81286
JUL,-0.02,0.033999999,0.059999999,0.07,0.090000004,0.129999995,0.189999998,0.319999993,0.660000026,1.299999952,3.50999999,9.526000023,41.88999939,South Carolina,Allendale,9420
JUL,-0.050000001,0.02,0.029999999,0.039999999,0.050000001,0.079999998,0.109999999,0.170000002,0.300000012,0.550000012,1.029999971,4.199500012,24.96999931,Texas,Young,18146
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Iowa,Bremer,24761
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Oregon,Wasco,25500
JUL,0.039999999,0.129999995,0.150000006,0.170000002,0.200000003,0.25,0.360000014,0.639999986,1.779999971,3.589999914,6.356999898,12.94999981,68.16000366,Florida,Nassau,77891
JUL,-0.029999999,0,0,0,0,0.200000003,0.389999986,0.74000001,1.600000024,3.075999928,6.004000092,13.30000019,79.86000061,Kentucky,Muhlenberg,31248
JUL,-0.109999999,-0.01,0.02,0.039999999,0.059999999,0.150000006,0.25999999,0.560000002,1.330000043,2.710000038,5.264999866,9.84600029,68.81999969,North Carolina,Haywood,59661
JUL,0,0.050000001,0.059999999,0.07,0.090000004,0.119999997,0.170000002,0.270000011,0.589999974,1.210000038,2.80199995,8.274400215,76.51000214,Texas,Jackson,14792
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,New York,Columbia,61549
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Pennsylvania,Washington,207747
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Montana,Custer,12069
JUL,-0.25,-0.050000001,-0.029999999,-0.01,0,0.029999999,0.07,0.100000001,0.140000001,0.200000003,0.319999993,0.973000026,48.84000015,New Mexico,Quay,8423
JUL,0.100000001,0.189999998,0.219999999,0.25,0.300000012,0.400000006,0.600000024,1.029999971,2.230000019,5.53000021,12.04575009,21.22100044,80.09999847,Tennessee,McMinn,52439
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Iowa,Cerro Gordo,42923
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Idaho,Ada,432768
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Missouri,Nodaway,22629
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Minnesota,Koochiching,12804
JUL,-0.230000004,-0.029999999,0,0,0,0,0.059999999,0.129999995,0.200000003,0.270000011,0.419249988,0.977400022,40.36999893,Kansas,Kingman,7628
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Alaska,Aleutians East Borough,3346
JUL,0.050000001,0.100000001,0.109999999,0.129999995,0.150000006,0.189999998,0.25,0.360000014,0.75999999,1.75,4.635749972,11.82300006,187.0200043,Texas,Glasscock,1369
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Kansas,Ottawa,5934
JUL,-0.02,0.029999999,0.050000001,0.079999998,0.100000001,0.150000006,0.219999999,0.360000014,0.670000017,1.230000019,2.96900003,6.719999771,31.77000046,Tennessee,Decatur,11600
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Iowa,Scott,171724
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Idaho,Madison,37877
JUL,0.600000024,0.839999974,1.003999996,1.169999957,1.466000032,2.380000114,4,7.449999809,15.29800014,24.95000038,35.18199997,50.59560043,93.23999786,Georgia,Henry,216827
JUL,0,0.059999999,0.079999998,0.090000004,0.119999997,0.200000003,0.430000007,1.320000052,3.359999895,5.353499985,8.033499813,12.13000011,101.5899963,North Carolina,Brunswick,122297
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Iowa,Sioux,34687
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Michigan,Schoolcraft,8127
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Wisconsin,Juneau,26301
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,New Hampshire,Rockingham,302156
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Montana,Powder River,1767
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Wisconsin,Dunn,44219
JUL,-0.039999999,0.129999995,0.180000007,0.230000004,0.300000012,0.529999971,1.019999981,2.707500041,16.05999947,32.47350063,47.86000061,67.9353994,149.4600067,Missouri,Greene,287250
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Minnesota,Isanti,38259
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Virginia,Warren,38891
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Idaho,Clark,874
JUL,-0.029999999,0.02,0.029999999,0.039999999,0.059999999,0.100000001,0.189999998,0.469999999,2.109999895,6.076999998,13.68999958,32.26940033,146.7899933,Louisiana,Terrebonne Parish,113928
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Montana,Judith Basin,1931
JUL,-0.02,0,0,0,0,0.039999999,0.129999995,0.289999992,0.680000007,1.149999976,2.450000048,5.400000095,68.25,Virginia,Richmond,8795
JUL,-0.059999999,0.01,0.02,0.029999999,0.050000001,0.079999998,0.140000001,0.310000002,1.039999962,2.940000057,13.93000031,44.43280121,277.6900024,Texas,Webb,269795
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,West Virginia,Marion,56690
JUL,0,0,0,0.02,0.079999998,0.209999993,0.379999995,0.699999988,1.113000011,1.581500041,2.390750104,3.848700008,18.46999931,Kentucky,Garrard,17219
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,New York,Rensselaer,159850
JUL,0.100000001,0.209999993,0.25,0.289999992,0.349999994,0.5,0.779999971,1.50999999,4.71999979,11.08500004,18.94000077,28.86549997,71.26999664,North Carolina,Wilson,81393
JUL,0,0,0,0,0,3.279999971,12.44999981,28.60000038,49.65000153,66.40000153,84.95999908,113.9808032,222.7899933,Kentucky,Jefferson,764341
JUL,0.159999996,0.189999998,0.209999993,0.219999999,0.25,0.310000002,0.439999998,0.860000014,2.19800005,4.322000027,7.161999893,14.1132003,51.63999939,Louisiana,Assumption Parish,22895
JUL,-0.100000001,0.050000001,0.090000004,0.129999995,0.170000002,0.319999993,0.479999989,0.790000021,1.639999986,4.143000102,8.592999911,18.0048,68.19999695,Tennessee,Dickson,51327
JUL,-0.01,0.059999999,0.079999998,0.090000004,0.119999997,0.159999996,0.219999999,0.340000004,0.560000002,0.860000014,1.539999962,5.00480011,82.94999695,Mississippi,Amite,12546
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Pennsylvania,Cameron,4765
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Maryland,Harford,249661
JUL,-0.029999999,0.02,0.050000001,0.059999999,0.079999998,0.109999999,0.150000006,0.209999993,0.319999993,0.460000008,0.857250017,2.789999962,19.04000092,Missouri,Barton,11835
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Montana,Teton,6050
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Nebraska,Nuckolls,4316
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Nevada,Douglas,47501
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Oregon,Umatilla,76481
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Idaho,Bonneville,109804
JUL,-0.01,0.079999998,0.109999999,0.129999995,0.159999996,0.219999999,0.379999995,0.569999993,1.090000033,2.980000019,7.670000076,19.43749981,45.84999847,Tennessee,Marshall,31543
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Iowa,Keokuk,10168
JUL,-0.170000002,-0.050000001,-0.029999999,-0.01,0,0.039999999,0.090000004,0.209999993,0.379999995,0.529999971,0.829999983,1.570000052,28.95999908,Missouri,Dent,15621
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Indiana,Marshall,46761
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,North Dakota,Bowman,3280
JUL,0.02,0.140000001,0.159999996,0.200000003,0.25,0.370000005,0.589999974,1.210000038,2.900000095,6.449999809,12.78600006,20.77919983,54,Alabama,Marshall,94577
JUL,0.050000001,0.100000001,0.119999997,0.140000001,0.180000007,0.25999999,0.439999998,0.839999974,1.529999971,2.339999914,4.269999981,8.816000271,39.41999817,Alabama,Chilton,43706
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Michigan,Gogebic,15539
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Nebraska,Dawson,23971
JUL,0,0,0,0.129999995,0.25,0.502499998,0.870000005,1.700000048,5.199999809,10.44049993,18.55500021,32.02759981,69.34999847,Kentucky,Bullitt,78707
